No,Steam ID,Total Game,Total Playtime,Total Achievement,Genres Dominan,Dominant Topic
144,76561198353192608,735,0.11787060831914119,1781,Action,"[82, 173, 232]"
145,76561198354879869,134,0.07317450337661176,1002,"Action, Free To Play","[257, 115, 333]"
146,76561198355865927,89,0.08136016717229368,2136,"Action, RPG","[52, 66, 134]"
147,76561198356057139,138,0.0,851,"Casual, Indie, Simulation","[65, 3, 33]"
148,76561198359630430,154,0.04382473767419716,638,"Simulation, Sports",[423]
149,76561198379680951,255,0.2198999326508895,1784,"Action, Adventure, Indie, RPG","[333, 43, 49]"
150,76561198380925613,19,0.044700174375189486,209,"Simulation, Sports, Free To Play","[72, 211, 257]"
151,76561198385044857,96,0.022462250925287256,287,"Action, Adventure",[]
152,76561198387663310,300,0.18096105756415973,2509,Action,[437]
153,76561198397520727,315,0.04936018345002432,1086,"Action, Free To Play","[257, 115, 333]"
154,76561198402102247,373,0.0,2782,Action,"[127, 262, 341]"
155,76561198405405706,147,0.1650221071929257,2450,"Action, Free To Play","[257, 115, 333]"
156,76561198409698028,155,0.05333754519613649,487,"Action, Indie","[115, 338, 445]"
157,76561198418647172,170,0.0,964,Action,[471]
158,76561198428416976,465,0.24634107135953642,3802,Action,"[5, 20, 125]"
159,76561198731493400,319,0.3222736327214942,4285,"Simulation, Strategy","[12, 14, 19]"
160,76561198796747013,512,0.12649068405128303,2980,"Action, Adventure, Free To Play","[57, 58, 104]"
161,76561198801443165,125,0.036883302914324206,502,"Casual, Indie, Simulation","[65, 3, 33]"
162,76561198802023770,80,0.08195989981056792,843,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free To Play",[99]
163,76561198808012262,329,0.07194197395970042,1710,"Action, RPG","[52, 66, 134]"
164,76561198812088447,39,0.0,1065,Casual,[]
165,76561198826718196,164,0.038993303748557896,20724,"Action, RPG","[230, 35, 30]"
166,76561198828810593,115,0.0825362332110469,852,"Action, Indie","[90, 99, 238]"
167,76561198829145577,394,0.07204981392519164,2156,Action,"[123, 245, 263]"
168,76561198832150248,312,0.15860308585078614,2106,"Action, Adventure","[13, 15, 17]"
169,76561198834338810,313,0.0,924,Action,"[257, 51, 108]"
170,76561198839121404,75,0.09925295389943212,950,"Casual, Indie, Simulation","[65, 3, 33]"
171,76561198856374188,80,0.04800862312780664,403,Strategy,"[10, 148, 230]"
172,76561198857091515,34,0.022993311887423217,95,"Action, RPG","[230, 35, 30]"
173,76561198875048347,122,0.1433366092266247,675,"Casual, Indie, Simulation","[65, 3, 33]"
174,76561198881119093,27,0.01291332718849002,138,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access","[72, 89]"
175,76561198885069362,140,0.11867635598583025,4709,"Action, Free To Play","[257, 115, 333]"
176,76561198885361159,75,0.035027641621343364,142,Action,"[257, 425, 211]"
177,76561198888114280,252,0.19547214575080019,30070,"Action, RPG, Free To Play","[52, 165, 171]"
178,76561198945755113,2596,0.0,8035,Action,"[127, 262, 341]"
179,76561198953226425,392,0.10516227880090098,7135,"Action, Adventure",[]
180,76561198961717161,332,0.10419884061863516,1765,"Casual, Indie, Simulation","[65, 3, 33]"
181,76561198964624208,129,0.06978008785905115,133,Action,"[5, 20, 125]"
182,76561198967853323,62,0.04177272625536912,771,"Action, Adventure","[10, 22, 257]"
183,76561198975545285,1594,0.3111172830839789,4740,"Casual, Indie, Simulation, Strategy","[134, 174, 211]"
184,76561198977381032,268,0.12179506744067277,881,"Action, Indie, RPG, Simulation, Strategy","[40, 50, 248]"
185,76561198977773368,84,0.22477562165670675,1031,"Simulation, Strategy",[540]
186,76561198987400304,161,0.0,1199,RPG,[]
187,76561198995354851,193,0.0,1629,Action,"[257, 21, 35]"
188,76561199000950114,45,0.03548138336293846,836,"Action, Adventure, RPG","[7, 363, 450]"
189,76561199002554135,197,0.0,1039,Action,"[127, 262, 341]"
190,76561199002949377,133,0.09643436310326796,792,"Action, Free To Play","[257, 115, 333]"
191,76561199009784226,114,0.06527624326254557,452,"Action, Free To Play","[257, 115, 333]"
192,76561199011466329,780,0.16075937648152785,2412,"Action, Adventure, Massively Multiplayer","[357, 364, 374]"
193,76561199013022405,72,0.10954810985026524,707,"Action, Adventure, Indie, Massively Multiplayer, RPG","[13, 77, 167]"
194,76561199013516841,219,0.03645601248501941,5770,"Action, Adventure","[160, 257, 104]"
195,76561199013686044,16,0.0018556612929808392,55,"Action, Free To Play","[257, 115, 333]"
196,76561199013703711,105,0.06730078601091828,392,"Simulation, Strategy","[12, 14, 19]"
197,76561199020507961,109,0.04403024402352946,173,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","[322, 16, 35]"
198,76561199023634809,172,0.0,1683,Action,"[77, 257, 322]"
199,76561199025463178,235,0.09554010527622293,2844,"Casual, Indie, Strategy","[25, 26, 32]"
200,76561199025778882,184,0.19000282825569875,2687,"Adventure, Massively Multiplayer, RPG, Free To Play",[88]
201,76561199027285610,297,0.14101499789406863,3346,Action,"[123, 245, 263]"
202,76561199028848672,69,0.07476514286760712,552,"Action, Adventure","[13, 15, 17]"
203,76561199031454232,248,0.06540748246583204,1957,Action,"[5, 20, 125]"
204,76561199031972538,224,0.06260262600489554,532,"Action, Casual, Indie, Simulation","[125, 163, 235]"
205,76561199036886739,204,0.0,1013,Action,"[127, 262, 341]"
206,76561199039639403,56,0.034995086160063,354,"Action, Free To Play","[257, 115, 333]"
207,76561199041275399,323,0.16093588812315732,8489,"Action, Adventure",[]
208,76561199050536169,25,0.034522014613332694,197,"Simulation, Sports","[286, 502]"
209,76561199050634608,208,0.15966571645414057,5780,"Action, Free To Play","[257, 115, 333]"
210,76561199061031031,183,0.45812299453271726,716,"Action, Massively Multiplayer, Simulation, Free To Play","[104, 174, 278]"
211,76561199066670400,173,0.11179647139494049,1734,Action,[36]
212,76561199076918197,50,0.04037436745756091,147,"Action, Free To Play","[257, 115, 333]"
213,76561199077896826,104,0.013830984253330325,419,Action,"[257, 39, 42]"
214,76561199078312199,283,0.05997733326008355,1079,Action,"[5, 20, 125]"
215,76561199084538463,159,0.10408286178782386,1495,"Casual, Indie, Simulation","[65, 3, 33]"
216,76561199087318541,336,0.04224020233219186,2114,Sports,"[77, 174, 257]"
217,76561199095146679,81,0.1405256486166981,984,"Simulation, Sports",[238]
218,76561199101512483,216,0.06810755103577235,2237,Action,"[123, 245, 263]"
219,76561199122194203,481,0.15207673322223786,2527,"Simulation, Strategy","[12, 14, 19]"
220,76561199122601478,27,0.02153238556246681,94,"Action, Casual, Indie, Simulation","[125, 163, 235]"
221,76561199130649318,83,0.042415187936573825,962,"Action, Free To Play","[257, 115, 333]"
222,76561199131595331,101,0.07746521143754745,842,"Action, Adventure, Free To Play","[50, 104, 138]"
223,76561199131606199,104,0.07702520403118,1603,"Action, Adventure, Indie, Simulation, Early Access","[77, 104, 150]"
224,76561199140319557,79,0.0,296,Action,"[77, 257, 322]"
225,76561199142378365,257,0.11865041335262246,2741,"Action, Free To Play","[257, 115, 333]"
226,76561199159780208,305,0.08582382612128131,861,"Indie, RPG, Simulation, Early Access","[30, 20, 28]"
227,76561199161450966,119,0.021822332639495068,832,"Action, Adventure, Indie","[70, 333, 411]"
