Term,Tf,Df,Idf,c-TF-IDF
base,2.1982643257059418,13,4.235873401236772,9.311569386145486
take,2.5728813482817383,25,3.6168341928305483,9.305685234561354
amazing,1.9387989382574968,7,4.795489189172194,9.297489348392356
every,2.264751204009894,15,4.102342008612249,9.290784003264955
excellent,1.9354461506209417,7,4.795489189172194,9.281411091527664
bore,1.5904723227852702,2,5.77631844218392,9.187074609887652
ok,1.961498735670326,8,4.677706153515811,9.175314705958568
big,2.3869241413094198,20,3.8304082931286074,9.142894025940478
part,2.2843761935514735,17,3.984558972955866,9.10223165962229
give,2.4407102465916695,23,3.6968769005040847,9.023005331448372
full,2.3204990685675297,19,3.8791984572980396,9.001676406948697
graphic,2.2453941812856377,17,3.984558972955866,8.94690553286458
change,2.2584994701093115,19,3.8791984572980396,8.761167660256481
pc,2.030281438424873,12,4.309981373390494,8.750475182351662
different,2.466682888399508,27,3.5427262206768266,8.738782146827786
decent,2.0878201678195363,14,4.16688052974982,8.699697206906228
option,2.231107090880933,19,3.8791984572980396,8.654907185012037
old,2.0741386721508124,14,4.16688052974982,8.642688048986365
absolute,1.6346800892642768,4,5.26549281841793,8.60739627043183
side,2.1280636673704914,16,4.041717386795814,8.60103192461978
without,2.299834938006154,22,3.7394365149228808,8.600086745475613
something,2.2944614369915244,22,3.7394365149228808,8.579992879568529
rip,1.561294640525439,3,5.48863636973214,8.569378547855791
wait,1.99920698594733,13,4.235873401236772,8.468387695341033
price,2.0901401066310425,16,4.041717386795814,8.447755609809942
unique,2.024552321151805,14,4.16688052974982,8.436067648467262
tactical,1.7872987044678723,8,4.677706153515811,8.360458148060204
meh,1.644090955570921,5,5.083171261623976,8.357195896854007
seriously,1.6388433317235964,5,5.083171261623976,8.330521326121472
come,2.233834024765839,23,3.6968769005040847,8.2582094057169
turn,2.0411596115067043,16,4.041717386795814,8.249790291052038
mean,1.8536662466820795,11,4.3900240810640305,8.137639461189906
titanfall,1.408002225604995,2,5.77631844218392,8.133069222398138
early,1.8484534317753847,11,4.3900240810640305,8.114755078219387
downloadable,1.831249788993031,11,4.3900240810640305,8.039230672122832
everything,1.9868922055583425,16,4.041717386795814,8.030456772894237
perfect,1.57417833719194,5,5.083171261623976,8.001818084285086
way,2.224568568232464,26,3.5790938648477013,7.9619397144938455
review,1.837782006267639,12,4.309981373390494,7.9208062153657375
series,1.9307290513242994,15,4.102342008612249,7.920510894495749
design,2.0927368203048484,21,3.783888277493715,7.918682322230987
original,1.8996617080221887,14,4.16688052974982,7.915663384268944
deckbuilder,1.4996184514021333,4,5.26549281841793,7.896230186224951
fast,1.7149639473715337,9,4.572345637857985,7.841407923847943
definitely,1.9669852632924716,17,3.984558972955866,7.8375687805239735
start,1.9900385108803453,18,3.93049175168559,7.821829952551875
year,1.8449226041305462,13,4.235873401236772,7.814858586177058
piece,1.4825607239120313,4,5.26549281841793,7.806412844627287
please,1.5826662863729346,6,4.929020581796717,7.800994699647972
interesting,1.984510913152122,18,3.93049175168559,7.800103775274455
deck,1.7039266054386866,9,4.572345637857985,7.790941381607742
could,2.171396424160739,26,3.5790938648477013,7.771631619865938
buck,1.5264861724161292,5,5.083171261623976,7.75939064289205
bundle,1.4707716961381327,4,5.26549281841793,7.744337803547697
random,1.6546666650329818,8,4.677706153515811,7.740044441042264
variety,1.8522939947783927,14,4.16688052974982,7.718287782214601
free,1.6725115282720242,9,4.572345637857985,7.647300790561782
furry,1.3210425575561016,2,5.77631844218392,7.630762488121123
bot,1.3189064866842486,2,5.77631844218392,7.618423862550227
look,2.05441202673722,23,3.6968769005040847,7.594908365762609
quest,1.488368804120913,5,5.083171261623976,7.56563353180507
issue,1.897743459972871,17,3.984558972955866,7.561670731803218
almost,1.7201250723739638,11,4.3900240810640305,7.55139049016371
little,1.8622044989778794,16,4.041717386795814,7.526504301288284
steam,1.6055741651429125,8,4.677706153515811,7.510404152215014
neat,1.2971823689477109,2,5.77631844218392,7.492938440628489
remake,1.2939244371074838,2,5.77631844218392,7.474119588856407
style,1.6942037167117454,11,4.3900240810640305,7.437595114592745
soul,1.411864398717809,4,5.26549281841793,7.434161852028573
second,1.886835859497337,18,3.93049175168559,7.416192782538873
nothing,1.7332695379231338,13,4.235873401236772,7.341910332862552
finally,1.638218577397609,10,4.47703545805366,7.334362659051318
