steam_id,total_game,total_achievement,dominant_topic,top_1_genre,top_2_genre,top_3_genre,archetype_1_weight,archetype_2_weight,archetype_3_weight,archetype_4_weight,archetype_5_weight,archetype_6_weight,archetype_7_weight
76561197999482693,0.0143112701252235,0.0847165991902834,0,17,1,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76561198002458772,0.1162790697674418,0.2467611336032388,0,9,13,17,0.9783388403190387,0.0,0.0,0.0,0.0,0.0,0.02166115968096124
76561198003412713,0.0787119856887298,0.1769230769230769,0,1,17,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76561198004559773,0.0554561717352415,0.2281376518218623,0,1,2,13,0.0,0.9750126894629914,0.0,0.0,0.0,0.0,0.024987310537008554
76561198006756264,0.1699463327370304,0.2099190283400809,0,17,9,1,0.0,0.0,0.0,0.967954499098862,0.0,0.030376493315265245,0.0016690075858728877
76561198006906614,1.0,0.2269230769230769,0,9,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76561198009353718,0.1216457960644007,0.3982793522267206,0,1,2,9,0.0,0.0,0.0802809538956027,0.0,0.10026775282208474,0.8194512932823125,0.0
76561198011413162,0.0447227191413237,0.1441295546558704,0,1,2,13,0.0,0.9518360417040388,0.0,0.0,0.0,0.0,0.04816395829596127
76561198011778207,0.1359570661896243,0.0878542510121457,0,1,2,9,0.0,0.0,0.05262717744683394,0.0,0.12286393439758522,0.8193324940477156,0.005176394107865231
76561198011803825,0.0536672629695885,0.1869433198380566,0,1,2,9,0.0,0.0,0.0,0.0,0.7390768738391658,0.2609231261608343,0.0
76561198022439862,0.2987477638640429,0.2067813765182186,0,9,17,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198025583859,0.7298747763864043,0.1708502024291498,0,9,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76561198025679656,0.0822898032200357,0.1241902834008097,0,2,1,9,0.0,0.0,0.22794267007159813,0.0,0.7720573299284018,0.0,0.0
76561198031720187,0.0286225402504472,0.112246963562753,0,1,9,2,0.0,0.0,0.0,0.0,0.9991040813148967,0.0008959186851032219,0.0
76561198032898393,0.0250447227191412,0.041497975708502,0,17,9,15,0.4720025332916613,0.0,0.0,0.5279974667083387,0.0,0.0,0.0
76561198037222425,0.3094812164579605,0.2889676113360324,0,9,17,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76561198037246903,0.1377459749552772,0.8236842105263158,0,1,2,9,0.0,0.0,0.009592615358043758,0.0,0.0,0.9904073846419562,0.0
76561198041304371,0.0178890876565295,0.0837044534412955,0,9,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76561198045196300,0.5491949910554561,0.4138663967611335,0,1,2,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76561198046731438,0.0769230769230769,0.1352226720647773,0,1,9,2,0.0,0.0,0.04598704531936307,0.0,0.6071345510270223,0.34687840365361466,0.0
76561198048640355,0.4812164579606439,0.4817813765182186,0,1,2,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76561198061669144,0.0447227191413237,0.0078947368421052,0,9,17,13,0.8997658893938062,0.0,0.0,0.0,0.0,0.0,0.10023411060619383
76561198064800033,0.0822898032200357,1.0,0,1,2,9,0.0,0.0,0.0,0.0,0.0,0.9802646027973014,0.019735397202698648
76561198068123705,0.0053667262969588,0.0,0,1,2,9,0.0,0.0,0.0,0.0,0.9988907885777194,0.0,0.0011092114222804549
76561198088342032,0.2504472271914132,0.2602226720647773,0,1,2,9,0.0,0.0,0.7886036624895125,0.0,0.21139633751048742,0.0,0.0
76561198105784816,0.0411449016100179,0.0634615384615384,0,1,2,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76561198107047766,0.3166368515205724,0.0691295546558704,0,9,1,17,0.0,0.0,0.06808764865674252,0.9319123513432576,0.0,0.0,0.0
76561198108773562,0.1162790697674418,0.2214574898785425,0,1,2,9,0.0,0.0,0.12200680326320223,0.0,0.28877329545840175,0.5892199012783961,0.0
76561198118915505,0.0322003577817531,0.0696356275303643,0,1,2,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0
