steam_id,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561198031720187,0.027932960893854747,0.11621181998915599,0.27744008575264906,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8953488372093024,0.0,0.0,0.8837209302325582,0.8953488372093024,0.8837209302325582,0.0,0.0,0.0
76561198032898393,0.022346368715083803,0.04400867522139888,0.34643119517038234,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9226190476190476,0.0,0.0,0.9047619047619047,0.0,0.9047619047619047,0.9226190476190476
76561198037222425,0.2793296089385475,0.2656786553406832,0.11216799603395693,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.44034090909090906,0.0,0.0,0.4318181818181818,0.4403409090909091,0.0,0.4403409090909091
76561198037246903,0.13547486033519557,0.8566781131393458,0.5703089181096691,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224899598393574,0.610441767068273,0.6184738955823292,0.610441767068273,0.0,0.0,0.0
76561198041304371,0.012569832402234637,0.08566781131393457,0.12308323951307472,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9627329192546583,0.0,0.9565217391304347,0.9440993788819875,0.0,0.0,0.9627329192546583
76561198045196300,0.5432960893854749,0.4402674859931321,0.09327742107785349,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2809611829944547,0.0,0.0,0.0,0.2809611829944547,0.2846580406654344,0.2809611829944547,0.0,0.0,0.0
76561198046731438,0.08519553072625702,0.14241821796493764,0.37607522068863236,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7136150234741785,0.0,0.0,0.0,0.7136150234741784,0.7230046948356808,0.7136150234741784,0.0,0.0,0.0
76561198048640355,0.4650837988826816,0.4883426712452557,0.2098345406135363,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3134020618556701,0.0,0.0,0.0,0.3134020618556701,0.31752577319587627,0.3134020618556701,0.0,0.0,0.0
76561198061669144,0.03212290502793297,0.007500451834447863,0.5571906088967152,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.8685714285714285,0.8857142857142857,0.0,0.8857142857142857
76561198064800033,0.07402234636871508,1.0,0.9061410422118588,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7414634146341464,0.0,0.0,0.0,0.7414634146341463,0.751219512195122,0.7414634146341463,0.0,0.0,0.0
76561198068123705,0.002793296089385472,0.0,0.2978693527845058,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9870129870129871,1.0,0.9870129870129871,0.0,0.0,0.0
76561198088342032,0.24720670391061456,0.28519790348816193,0.05507689318363777,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.46200607902735563,0.0,0.0,0.0,0.46200607902735563,0.46808510638297873,0.46200607902735563,0.0,0.0,0.0
76561198105784816,0.054469273743016744,0.07834809325863003,0.1612454345365696,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9528795811518324,0.0,0.7958115183246074,0.8062827225130891,0.0,0.8115183246073299,0.0,0.0
76561198107047766,0.2932960893854749,0.07102837520332551,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42817679558011046,0.4198895027624309,0.0,0.4198895027624309,0.0,0.0,0.42817679558011046
76561198108773562,0.1047486033519553,0.22555575637086572,0.46908501243746115,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.669603524229075,0.0,0.0,0.0,0.669603524229075,0.6784140969162996,0.669603524229075,0.0,0.0,0.0
76561198118915505,0.044692737430167606,0.07202241098861377,0.20723920157727688,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8369565217391305,0.0,0.0,0.8260869565217391,0.8369565217391304,0.0,0.842391304347826,0.0,0.0
76561198121696622,0.1075418994413408,0.11033797216699802,0.4207043081315428,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6768558951965065,0.6637554585152838,0.0,0.6637554585152838,0.0,0.0,0.6768558951965065
76561198122292277,0.0516759776536313,0.1642870052412796,0.7203403349139488,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8042328042328043,0.0,0.0,0.0,0.8042328042328042,0.8148148148148148,0.8042328042328042,0.0,0.0,0.0
76561198147075448,0.030726256983240247,0.07373938189047534,0.11375271045051065,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8850574712643678,0.0,0.0,0.8735632183908046,0.8850574712643678,0.8735632183908046,0.0,0.0,0.0
76561198150437413,0.01536312849162011,0.05376829929513825,0.06883909149482927,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.932515337423313,0.0,0.0,0.0,0.9325153374233129,0.9447852760736196,0.9325153374233129,0.0,0.0,0.0
76561198159956177,0.047486033519553106,0.17223929152358575,0.2154357939751047,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8172043010752689,0.0,0.0,0.0,0.8172043010752689,0.8279569892473119,0.8172043010752689,0.0,0.0,0.0
76561198170036259,0.138268156424581,0.3430327128140249,0.38190358319788253,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6055776892430279,0.0,0.0,0.0,0.6055776892430279,0.6135458167330677,0.6055776892430279,0.0,0.0,0.0
76561198192893105,0.08938547486033521,0.283571299475872,0.2984494014631369,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7175925925925926,0.0,0.0,0.7037037037037037,0.7175925925925926,0.0,0.7175925925925926
76561198201248007,0.3337988826815642,0.3146575094885234,0.17326584489508984,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.38874680306905374,0.0,0.0,0.0,0.38874680306905374,0.3938618925831202,0.38874680306905374,0.0,0.0,0.0
76561198336656213,0.2793296089385475,0.02177842038677029,0.06135406887582236,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5170454545454545,0.0,0.4318181818181818,0.4375,0.4318181818181818,0.0,0.0,0.0
76561198353192608,0.0516759776536313,0.04906922103741189,0.08932946443125113,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,0.0,0.8042328042328042,0.8148148148148148,0.8042328042328042,0.0,0.0,0.0
76561198796747013,0.0935754189944134,0.15488884872582687,0.11031709130290977,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6940639269406393,0.0,0.0,0.0,0.6940639269406392,0.7031963470319634,0.6940639269406392,0.0,0.0,0.0
76561198829145577,0.002793296089385472,0.07545635279233688,0.06684084745243,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9870129870129871,0.0,0.0,0.0,0.9870129870129871,1.0,0.9870129870129871,0.0,0.0,0.0
76561198961717161,0.005586592178770972,0.0483462859208386,0.11883844836045147,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743589743589745,0.0,0.0,0.0,0.9743589743589743,0.9871794871794871,0.9743589743589743,0.0,0.0,0.0
