,total_game,total_achievement,total_playtime,topic_count_1,topic_count_2,topic_count_3,topic_count_4,genre_count_1,genre_count_2,genre_count_9,genre_count_13,genre_count_15,genre_count_17,topic_count_1_prop,topic_count_2_prop,topic_count_3_prop,topic_count_4_prop,genre_count_1_prop,genre_count_2_prop,genre_count_9_prop,genre_count_13_prop,genre_count_15_prop,genre_count_17_prop
76561197996986882,0.2150837988826816,0.1913067052232062,0.2899843297013704,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5065359477124183,0.0,0.0,0.4967320261437908,0.5065359477124183,0.0,0.5065359477124183
76561197998141809,0.1815642458100558,0.4146032893547804,0.5486147372336256,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5460992907801419,0.0,0.0,0.5390070921985816,0.5460992907801419,0.5390070921985816,0.0,0.0,0.0
76561197998383791,0.0949720670391061,0.2486896801012109,0.6537341921117846,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6909090909090909,0.0,0.0,0.0,0.6909090909090909,0.7,0.6909090909090909,0.0,0.0,0.0
76561197999259031,0.0432960893854748,0.0962407373938189,0.2443438267353571,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8469945355191257,0.8306010928961749,0.0,0.8306010928961749,0.0,0.0,0.8469945355191257
76561197999482693,0.0041899441340782,0.0869329477679378,0.2445168429286575,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9806451612903224,0.0,0.0,1.0,0.0,1.0
76561198002458772,0.1131284916201117,0.2623350804265317,0.2302856826349247,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6652360515021459,0.0,0.0,0.6523605150214592,0.6652360515021459,0.0,0.6652360515021459
76561198003412713,0.0642458100558659,0.1870594614133381,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9191919191919192,0.0,0.7676767676767677,0.0,0.0,0.7828282828282829,0.0,0.7828282828282829
76561198004559773,0.0446927374301676,0.2379360202421832,0.3682635796949842,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9891304347826086,0.0,0.8260869565217391,0.8369565217391304,0.0,0.842391304347826,0.0,0.0
76561198006756264,0.1662011173184358,0.2372130851256099,0.3154436430041251,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5719557195571955,0.5608856088560885,0.0,0.5608856088560885,0.0,0.0,0.5719557195571956
76561198006906614,1.0,0.2553768299295138,0.0140021982711434,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.1751152073732718,0.1774193548387097,0.1751152073732718,0.0,0.0,0.0
